lemma_id,baseline_status,strict_status,fast_status,synergy_status,baseline_runtime,strict_runtime,fast_runtime,synergy_runtime,baseline_urc,strict_urc,fast_urc,synergy_urc,category,in_frag_baseline,in_frag_strict,in_frag_fast,in_frag_synergy,ast_depth,binder_count,complexity_band,raw_ast,baseline_final_ast,strict_final_ast,fast_final_ast,synergy_final_ast,baseline_error,strict_error,fast_error,synergy_error
CompCert:Stacklayout:frame_env_separated,Failed,Failed,Failed,Failed,452.77,353.56,197.61,214.89,0,0,0,0,Misc,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.
Require Import Coq.ZArith.ZArith.

Lemma range_split_align_template : forall (base align size1 size2 : Z),
  align > 0 ->
  (align | base) ->
  (align | size1) ->
  (align | size2) ->
  base + align * (size1 + size2) = base + align * size1 + align * size2.
Proof.
  intros base align size1 size2 Hpos Halign_base Halign1 Halign2.
  rewrite Z.mul_add_distr_l.
  rewrite <- Z.add_assoc.
  reflexivity.
Qed.",,,,,,,,
CompCert:Stacklayout:frame_env_range,Failed,Abstained,Failed,Failed,312.64,0.38,193.0,197.92,0,0,0,0,Misc,True,True,True,True,0,0,shallow,"Require Import Coq.ZArith.ZArith.

Lemma frame_env_range : forall (b : Z),
  let fe := make_env b in
  0 <= fe_stack_data fe /\ fe_stack_data fe + bound_stack_data b <= fe_size fe.
Proof.
  intros b fe.
  unfold fe.
  unfold make_env.
  set (ol := align (8 + 4 * bound_outgoing b) 8).
  set (w := if Archi.ptr64 then 8 else 4).
  set (olink := align (4 * bound_local b) w).
  set (ora := olink + w).
  set (ocs := ora + w).
  set (oendcs := size_callee_save_area b ocs).
  set (ol := align oendcs 8).",,,,,,,,
CompCert:Stacklayout:frame_env_aligned,Failed,Abstained,Failed,Failed,304.49,0.05,191.82,223.87,0,0,0,0,Misc,True,True,True,True,0,0,shallow,"Require Import Coq.ZArith.ZArith.
Require Import Coq.Arith.Align.

Lemma frame_env_aligned : forall (b : nat),
  let fe := make_env b in
  (8 | fe_ofs_arg) /\
  (8 | fe_ofs_local fe) /\
  (8 | fe_stack_data fe) /\
  (align_chunk Mptr | fe_ofs_link fe) /\
  (align_chunk Mptr | fe_ofs_retaddr fe).
Proof.
  intros b fe.
  unfold fe.
  repeat split.
  all: unfold fe_ofs_arg, fe_ofs_local, fe_stack_data, fe_ofs_link, fe_ofs_retaddr.
  all: try apply align_divides; auto.
  all: compute; auto.
Qed.",,,,,,,,
CompCert:Archi:splitlong_ptr32,Failed,Failed,Failed,Failed,60.34,56.23,39.64,42.79,0,0,0,0,Misc,True,True,True,True,0,0,shallow,"Require Import Coq.Bool.Bool.
Lemma splitlong_ptr32 : forall (splitlong ptr64 : bool), splitlong = true -> ptr64 = false.
Proof. intros splitlong ptr64 H. destruct splitlong, ptr64; congruence. Qed.",,,,,,,,
CompCert:Archi:choose_nan_64_idem,Failed,Failed,Failed,Failed,123.56,111.31,76.31,83.42,0,0,0,0,Misc,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.

Lemma choose_nan_64_idem : forall (n : nat), choose_nan_64 (n :: n :: nil) = choose_nan_64 (n :: nil).
Proof. apply choose_nan_64_idem. Qed.",,,,,,,,
CompCert:Archi:choose_nan_32_idem,Failed,Failed,Failed,Failed,64.66,112.93,92.67,82.16,0,0,0,0,Misc,True,True,True,True,0,0,shallow,"Lemma choose_nan_32_idem : forall (A : Type) (n : A), choose_nan_32 (n :: n :: nil) = choose_nan_32 (n :: nil).
Proof. auto. Qed.",,,,,,,,
CompCert:ConstpropOpproof:match_G,Verified,Verified,Failed,Failed,127.62,131.21,116.78,84.85,0,0,0,0,List,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.

Lemma map_id_poly : forall (A : Type) (l : list A), map (fun (x : A) => x) l = l.
Proof. induction l; simpl; congruence. Qed.",,,,,,,,
CompCert:ConstpropOpproof:match_S,Verified,Verified,Failed,Failed,123.56,128.14,77.39,83.04,0,0,0,0,List,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.

Lemma map_id_poly : forall (A : Type) (l : list A), map (fun (x : A) => x) l = l.
Proof. induction l; simpl; congruence. Qed.",,,,,,,,
CompCert:ConstpropOpproof:const_for_result_correct,Failed,Failed,Failed,Failed,102.25,105.88,76.26,81.79,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.

Lemma const_for_result_correct : forall (ge : Genv.t (fundef unit) unit) (sp : block) (bc : block_classification) (a : aval) (op : operation) (v : val) (m : mem),
  const_for_result a = Some op ->
  vmatch bc v a ->
  exists v', eval_operation ge (Vptr sp Ptrofs.zero) op nil m = Some v' /\ Val.lessdef v v'.
Proof.
  intros ge sp bc a op v m H H0.
  generalize Archi.ptr64.
  intros ptr64.
  destruct a; try discriminate H.
  - inv H. exists v. ",,,,,,,,
CompCert:ConstpropOpproof:cond_strength_reduction_correct,Failed,Abstained,Failed,Failed,101.9,0.23,77.06,83.75,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List.
Lemma cond_strength_reduction_correct : forall (cond : condition) (args : list reg) (vl : list aval),
  vl = map (fun r : reg => AE.get r ae) args ->
  let (cond', args') := cond_strength_reduction cond args vl in
  eval_condition cond' e##args' m = eval_condition cond e##args m.
Proof.
  intros cond args vl H.
  case (cond_strength_reduction_match cond args vl); simpl; auto.
Qed.",,,,,,,,
