lemma_id,fast_failure_mode,synergy_failure_mode
CompCert:ConstpropOpproof:match_G,OTHER,OTHER
CompCert:ConstpropOpproof:match_S,OTHER,OTHER
CompCert:ConstpropOpproof:make_divimm_correct,OTHER,OTHER
CompCert:ConstpropOpproof:make_shrluimm_aux_correct,OTHER,OTHER
CompCert:SelectLongproof:eval_intoflong,OTHER,OTHER
CompCert:Conventions1:loc_result_exten,OTHER,OTHER
CompCert:Asmgenproof1:preg_notin_LR,OTHER,OTHER
CompCert:Asmgenproof1:loadv_offset_ptr,OTHER,OTHER
CompCert:Asmgenproof1:storev_offset_ptr,OTHER,OTHER
CompCert:Asmgenproof:transf_initial_states,OTHER,OTHER
CompCert:Op:eval_addressing_Ainstack,OTHER,OTHER
CompCert:Op:eval_addressing_Ainstack_inv,OTHER,OTHER
CompCert:Op:eval_shift_stack_addressing,OTHER,OTHER
CompCert:Op:eval_shift_stack_operation,OTHER,OTHER
CompCert:Op:op_depends_on_memory_correct,OTHER,OTHER
CompCert:SelectOpproof:eval_notint,OTHER,OTHER
CompCert:SelectOpproof:eval_or,OTHER,OTHER
CompCert:SelectOpproof:eval_xor,OTHER,OTHER
CompCert:Asm:preg_eq,OTHER,OTHER
CompCert:Asm:semantics_determinate,OTHER,OTHER
CompCert:Interpreter:shift_head_symbs,OTHER,OTHER
CompCert:Interpreter:goto_head_symbs,OTHER,OTHER
CompCert:Interpreter:goto_past_state,OTHER,OTHER
CompCert:Interpreter_complete:start_future,OTHER,OTHER
CompCert:Lineartyping:wt_init,OTHER,OTHER
CompCert:Lineartyping:wt_setpair,OTHER,OTHER
CompCert:Lineartyping:wt_initial_state,OTHER,OTHER
CompCert:ValueDomain:plub_comm,OTHER,OTHER
CompCert:ValueDomain:pge_lub_l,OTHER,OTHER
CompCert:ValueDomain:is_sgn_wordsize,OTHER,OTHER
CompCert:ValueDomain:vge_refl,OTHER,OTHER
CompCert:ValueDomain:vlub_comm,OTHER,OTHER
CompCert:ValueDomain:vge_lub_l,OTHER,OTHER
CompCert:ValueDomain:shrx_sound,OTHER,OTHER
CompCert:ValueDomain:divls_sound,OTHER,OTHER
CompCert:ValueDomain:divlu_sound,OTHER,OTHER
CompCert:ValueDomain:modls_sound,OTHER,OTHER
CompCert:ValueDomain:modlu_sound,OTHER,OTHER
CompCert:ValueDomain:intofsingle_sound,OTHER,OTHER
CompCert:ValueDomain:singleofint_sound,OTHER,OTHER
CompCert:ValueDomain:singleofintu_sound,OTHER,OTHER
CompCert:ValueDomain:floatoflongu_sound,OTHER,OTHER
CompCert:ValueDomain:singleoflong_sound,OTHER,OTHER
CompCert:ValueDomain:floatofwords_sound,OTHER,OTHER
CompCert:ValueDomain:loword_sound,OTHER,OTHER
CompCert:ValueDomain:hiword_sound,OTHER,OTHER
CompCert:ValueDomain:cmpf_bool_sound,OTHER,OTHER
CompCert:ValueDomain:cmpfs_bool_sound,OTHER,OTHER
CompCert:ValueDomain:add_undef_undef,OTHER,OTHER
CompCert:ValueDomain:val_of_aval_sound,OTHER,OTHER
CompCert:ValueDomain:of_xtype_arg_sound,OTHER,OTHER
