lemma_id,category,complexity_band,baseline_status,fast_status,synergy_status,baseline_runtime,fast_runtime,synergy_runtime,baseline_error,fast_error,synergy_error
CompCert:ConstpropOpproof:match_G,List,shallow,Verified,Failed,Failed,127.62,116.78,84.85,,,
CompCert:ConstpropOpproof:match_S,List,shallow,Verified,Failed,Failed,123.56,77.39,83.04,,,
CompCert:ConstpropOpproof:make_divimm_correct,Arithmetic,shallow,Verified,Failed,Failed,100.85,73.93,79.03,,,
CompCert:ConstpropOpproof:make_shrluimm_aux_correct,Boolean,shallow,Verified,Failed,Failed,125.28,83.52,87.94,,,
CompCert:SelectLongproof:eval_intoflong,Arithmetic,shallow,Verified,Failed,Failed,103.12,82.52,83.16,,,
CompCert:Conventions1:loc_result_exten,Misc,shallow,Verified,Failed,Failed,159.08,75.94,84.57,,,
CompCert:Asmgenproof1:preg_notin_LR,Misc,shallow,Verified,Failed,Failed,258.97,77.47,99.46,,,
CompCert:Asmgenproof1:loadv_offset_ptr,Misc,shallow,Verified,Failed,Failed,214.31,77.99,87.17,,,
CompCert:Asmgenproof1:storev_offset_ptr,Boolean,shallow,Verified,Failed,Failed,149.53,76.97,83.47,,,
CompCert:Asmgenproof:transf_initial_states,Misc,shallow,Verified,Failed,Failed,137.34,75.59,81.34,,,
CompCert:Op:eval_addressing_Ainstack,Arithmetic,shallow,Verified,Failed,Failed,114.45,75.7,85.56,,,
CompCert:Op:eval_addressing_Ainstack_inv,Arithmetic,shallow,Verified,Failed,Failed,114.82,75.99,85.25,,,
CompCert:Op:eval_shift_stack_addressing,Arithmetic,shallow,Verified,Failed,Failed,127.29,73.96,76.57,,,
CompCert:Op:eval_shift_stack_operation,Misc,shallow,Verified,Failed,Failed,133.7,73.0,76.11,,,
CompCert:Op:op_depends_on_memory_correct,Boolean,shallow,Verified,Failed,Failed,125.49,76.07,80.0,,,
CompCert:SelectOpproof:eval_notint,Arithmetic,shallow,Verified,Failed,Failed,244.16,156.09,169.2,,,
CompCert:SelectOpproof:eval_or,Boolean,shallow,Verified,Failed,Failed,49.45,37.97,40.72,,,
CompCert:SelectOpproof:eval_xor,Boolean,shallow,Verified,Failed,Failed,118.2,74.46,80.63,,,
CompCert:Asm:preg_eq,Misc,shallow,Verified,Failed,Failed,148.21,88.23,76.96,,,
CompCert:Asm:semantics_determinate,Arithmetic,shallow,Verified,Failed,Failed,124.94,79.51,76.49,,,
CompCert:Interpreter:shift_head_symbs,Arithmetic,shallow,Verified,Failed,Failed,137.69,76.57,76.22,,,
CompCert:Interpreter:goto_head_symbs,Arithmetic,shallow,Verified,Failed,Failed,131.38,76.71,75.92,,,
CompCert:Interpreter:goto_past_state,Arithmetic,shallow,Verified,Failed,Failed,136.75,76.86,75.92,,,
CompCert:Interpreter_complete:start_future,Arithmetic,shallow,Verified,Failed,Failed,147.1,76.89,77.9,,,
CompCert:Lineartyping:wt_init,Misc,shallow,Verified,Failed,Failed,127.93,75.92,75.45,,,
CompCert:Lineartyping:wt_setpair,Misc,shallow,Verified,Failed,Failed,108.97,77.32,75.64,,,
CompCert:Lineartyping:wt_initial_state,Misc,shallow,Verified,Failed,Failed,124.88,158.64,157.61,,,
CompCert:ValueDomain:plub_comm,Misc,shallow,Verified,Failed,Failed,110.73,73.2,74.14,,,
CompCert:ValueDomain:pge_lub_l,Misc,shallow,Verified,Failed,Failed,256.77,163.11,156.77,,,
CompCert:ValueDomain:is_sgn_wordsize,Boolean,shallow,Verified,Failed,Failed,126.85,78.01,76.16,,,
CompCert:ValueDomain:vge_refl,Misc,shallow,Verified,Failed,Failed,115.24,73.11,73.96,,,
CompCert:ValueDomain:vlub_comm,Misc,shallow,Verified,Failed,Failed,242.13,160.81,157.54,,,
CompCert:ValueDomain:vge_lub_l,Misc,shallow,Verified,Failed,Failed,257.8,157.25,156.7,,,
CompCert:ValueDomain:shrx_sound,Misc,shallow,Verified,Failed,Failed,445.56,163.02,156.92,,,
CompCert:ValueDomain:divls_sound,Arithmetic,shallow,Verified,Failed,Failed,133.67,80.95,74.47,,,
CompCert:ValueDomain:divlu_sound,Arithmetic,shallow,Verified,Failed,Failed,125.32,78.52,98.42,,,
CompCert:ValueDomain:modls_sound,Misc,shallow,Verified,Failed,Failed,128.39,77.2,76.31,,,
CompCert:ValueDomain:modlu_sound,Misc,shallow,Verified,Failed,Failed,158.98,73.79,77.6,,,
CompCert:ValueDomain:intofsingle_sound,Arithmetic,shallow,Verified,Failed,Failed,262.25,156.77,159.17,,,
CompCert:ValueDomain:singleofint_sound,Arithmetic,shallow,Verified,Failed,Failed,150.43,73.03,73.4,,,
CompCert:ValueDomain:singleofintu_sound,Arithmetic,shallow,Verified,Failed,Failed,114.12,72.94,75.19,,,
CompCert:ValueDomain:floatoflongu_sound,Misc,shallow,Verified,Failed,Failed,324.0,156.86,160.49,,,
CompCert:ValueDomain:singleoflong_sound,Misc,shallow,Verified,Failed,Failed,117.51,74.87,73.61,,,
CompCert:ValueDomain:floatofwords_sound,Boolean,shallow,Verified,Failed,Failed,124.29,75.5,77.67,,,
CompCert:ValueDomain:loword_sound,Boolean,shallow,Verified,Failed,Failed,110.34,73.71,74.45,,,
CompCert:ValueDomain:hiword_sound,Boolean,shallow,Verified,Failed,Failed,108.87,73.61,74.26,,,
CompCert:ValueDomain:cmpf_bool_sound,Boolean,shallow,Verified,Failed,Failed,147.82,75.24,73.89,,,
CompCert:ValueDomain:cmpfs_bool_sound,Boolean,shallow,Verified,Failed,Failed,114.03,74.87,76.0,,,
CompCert:ValueDomain:add_undef_undef,Arithmetic,shallow,Verified,Failed,Failed,262.34,157.45,158.36,,,
CompCert:ValueDomain:val_of_aval_sound,Misc,shallow,Verified,Failed,Failed,259.01,158.48,157.56,,,
CompCert:ValueDomain:of_xtype_arg_sound,Misc,shallow,Verified,Failed,Failed,178.97,83.29,76.14,,,
CompCert:ValueDomain:ablock_load_sound,Misc,shallow,Verified,Failed,Failed,122.6,82.95,75.58,,,
CompCert:ValueDomain:romatch_storebytes,Boolean,shallow,Verified,Failed,Failed,145.5,76.15,75.88,,,
CompCert:ValueDomain:bmatch_incr,Inductive,shallow,Verified,Failed,Failed,159.92,77.0,75.78,,,
CompCert:ValueDomain:beq_correct,Boolean,shallow,Verified,Failed,Failed,144.56,79.07,82.03,,,
CompCert:ValueDomain:ge_refl,Misc,shallow,Verified,Failed,Failed,296.4,160.62,164.85,,,
CompCert:ValueDomain:ge_trans,Misc,shallow,Verified,Failed,Failed,324.29,159.53,159.87,,,
CompCert:Bounds:record_reg_incr,Boolean,shallow,Verified,Failed,Failed,71.34,38.62,38.63,,,
CompCert:Bounds:record_reg_ok,Boolean,shallow,Verified,Failed,Failed,150.5,76.82,76.72,,,
CompCert:Bounds:mreg_is_within_bounds,Misc,shallow,Verified,Failed,Failed,164.79,76.4,76.66,,,
CompCert:Bounds:instr_is_within_bounds,Misc,shallow,Verified,Failed,Failed,204.96,104.72,76.47,,,
CompCert:Bounds:function_is_within_bounds,Misc,shallow,Verified,Failed,Failed,85.23,44.76,37.42,,,
CompCert:Renumberproof:transf_function_at,Misc,shallow,Verified,Failed,Failed,156.1,82.69,77.2,,,
CompCert:Renumberproof:reach_succ,Misc,shallow,Verified,Failed,Failed,149.21,84.81,77.29,,,
CompCert:Linearizeproof:sig_preserved,Misc,shallow,Verified,Failed,Failed,143.38,77.15,76.16,,,
CompCert:Deadcodeproof:eagree_init_regs,Misc,shallow,Verified,Failed,Failed,153.55,76.6,76.36,,,
CompCert:Deadcodeproof:is_int_zero_sound,Arithmetic,shallow,Verified,Failed,Failed,124.96,74.41,73.34,,,
CompCert:Deadcodeproof:eagree_set_res,Misc,shallow,Verified,Failed,Failed,150.13,79.31,76.33,,,
CompCert:RTLgen:add_instr_incr,Arithmetic,shallow,Verified,Failed,Failed,112.79,75.64,76.13,,,
CompCert:RTLgen:reserve_instr_incr,Misc,shallow,Verified,Failed,Failed,114.41,75.66,76.09,,,
CompCert:Locations:eq,Misc,shallow,Verified,Failed,Failed,127.04,74.19,73.25,,,
CompCert:Locations:notin_dec,Misc,shallow,Verified,Failed,Failed,105.86,75.78,75.98,,,
CompCert:Locations:gso,Misc,shallow,Verified,Failed,Failed,136.95,75.07,72.98,,,
CompCert:Locations:eq_trans,Misc,shallow,Verified,Failed,Failed,59.28,38.42,37.12,,,
CompCert:Locations:lt_trans,Misc,shallow,Verified,Failed,Failed,114.18,72.88,73.04,,,
CompCert:Selectionproof:set_params_lessdef,Misc,shallow,Verified,Failed,Failed,178.51,76.56,76.71,,,
CompCert:SplitLongproof:eval_lowlong,Misc,shallow,Verified,Failed,Failed,131.98,76.92,75.64,,,
CompCert:SplitLongproof:eval_highlong,Misc,shallow,Verified,Failed,Failed,119.34,75.07,74.76,,,
CompCert:SplitLongproof:eval_negl,Boolean,shallow,Verified,Failed,Failed,116.76,76.96,76.04,,,
CompCert:SplitLongproof:eval_addl,Arithmetic,shallow,Verified,Failed,Failed,116.54,79.38,75.95,,,
CompCert:SplitLongproof:eval_subl,Arithmetic,shallow,Verified,Failed,Failed,134.02,78.04,76.28,,,
CompCert:CSE:refl_ge,Misc,shallow,Verified,Failed,Failed,69.33,37.76,36.86,,,
CompCert:RTLgenspec:init_mapping_valid,List,shallow,Verified,Failed,Failed,115.82,76.72,76.76,,,
CompCert:RTLtyping:type_function_correct,Boolean,shallow,Verified,Failed,Failed,119.7,77.28,76.28,,,
CompCert:RTLtyping:wt_stackframes_change_sig,Misc,shallow,Verified,Failed,Failed,94.99,80.25,75.85,,,
CompCert:RTLgenproof:init_mapping_wf,List,shallow,Verified,Failed,Failed,102.49,79.53,76.08,,,
CompCert:RTLgenproof:match_env_empty,Inductive,shallow,Verified,Failed,Failed,125.93,79.65,75.89,,,
CompCert:RTLgenproof:eval_builtin_args_trivial,Misc,shallow,Verified,Failed,Failed,124.42,84.35,75.67,,,
CompCert:Asmgenproof0:agree_undef_regs2,Misc,shallow,Verified,Failed,Failed,97.51,80.52,76.49,,,
CompCert:Tailcallproof:transf_instr_lookup,Misc,shallow,Verified,Failed,Failed,94.63,90.8,76.25,,,
CompCert:Cminortyping:wt_initial_state,Boolean,shallow,Verified,Failed,Failed,125.44,157.64,156.5,,,
CompCert:Kildall:add_spec,Arithmetic,shallow,Verified,Failed,Failed,95.86,79.01,75.65,,,
CompCert:Tunnelingproof:transf_program_match,Inductive,shallow,Verified,Failed,Failed,62.47,37.94,37.45,,,
CompCert:Tunnelingproof:record_branches_correct,Boolean,shallow,Verified,Failed,Failed,110.1,77.59,86.5,,,
CompCert:Tunnelingproof:record_gotos_correct_1,Boolean,shallow,Verified,Failed,Failed,94.07,77.49,75.9,,,
CompCert:Inliningproof:agree_regs_init_regs,Misc,shallow,Verified,Failed,Failed,127.36,142.41,76.25,,,
